date,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
2015-01-01,18063.529,5.7,234.747,192.0,436125.0,102.8239,140562.0,1085.0
2015-04-01,18279.784,5.4,236.222,190.9,442967.0,101.244,141202.0,1190.0
2015-07-01,18401.626,5.2,238.034,193.9,450143.0,101.1052,141989.0,1146.0
2015-10-01,18435.137,5.0,237.733,187.5,446905.0,100.1871,142584.0,1058.0
2016-01-01,18525.933,4.8,237.652,182.6,447376.0,99.4558,143196.0,1092.0
2016-04-01,18711.702,5.1,238.992,183.2,452238.0,98.4669,143856.0,1163.0
2016-07-01,18892.639,4.8,240.101,187.7,457894.0,98.836,144515.0,1239.0
2016-10-01,19089.379,4.9,241.741,186.7,462362.0,98.7322,145069.0,1313.0
2017-01-01,19280.084,4.7,243.618,190.7,473019.0,98.7987,145636.0,1190.0
2017-04-01,19438.643,4.4,244.193,193.0,473986.0,100.0082,146173.0,1146.0
2017-07-01,19692.595,4.3,244.243,193.5,473552.0,100.0947,146772.0,1206.0
2017-10-01,20037.088,4.2,246.626,194.9,484848.0,100.9981,147146.0,1257.0
2018-01-01,20328.553,4.0,248.859,197.9,490426.0,101.3939,147667.0,1299.0
2018-04-01,20580.912,4.0,250.227,200.3,494498.0,103.3468,148426.0,1276.0
2018-07-01,20798.73,3.8,251.214,204.3,502255.0,103.3334,149023.0,1208.0
2018-10-01,20917.867,3.8,252.772,204.6,505622.0,103.9397,149525.0,1221.0
2019-01-01,21104.133,4.0,252.561,199.1,500208.0,103.373,150062.0,1226.0
2019-04-01,21384.775,3.7,255.233,202.1,509564.0,102.2481,150602.0,1272.0
2019-07-01,21694.282,3.7,255.802,200.7,518274.0,102.0236,150934.0,1240.0
2019-10-01,21902.39,3.6,257.155,198.6,519795.0,101.6022,151458.0,1325.0
2020-01-01,21706.513,3.6,258.906,199.3,525411.0,101.3768,152045.0,1578.0
2020-04-01,19913.143,14.8,256.126,185.5,408312.0,84.5979,130421.0,931.0
2020-07-01,21647.64,10.2,258.408,193.0,535644.0,95.0144,139240.0,1523.0
2020-10-01,22024.502,6.8,260.249,196.5,549271.0,96.4292,142493.0,1543.0
2021-01-01,22600.185,6.4,262.518,204.8,570510.0,98.7836,142916.0,1639.0
2021-04-01,23292.362,6.1,266.752,217.9,622705.0,98.2886,144593.0,1492.0
2021-07-01,23828.973,5.4,271.994,231.85,612647.0,100.1231,146761.0,1600.0
2021-10-01,24654.603,4.5,276.434,240.465,630562.0,100.3045,148566.0,1587.0
2022-01-01,25029.116,4.0,282.39,246.453,644034.0,101.0227,150014.0,1712.0
2022-04-01,25544.273,3.7,288.764,265.31,673245.0,102.7953,151642.0,1828.0
2022-07-01,25994.639,3.5,294.977,272.274,671067.0,103.1328,153038.0,1392.0
2022-10-01,26408.405,3.6,297.863,265.061,681748.0,103.4114,153897.0,1440.0
2023-01-01,26813.601,3.4,300.356,260.227,693826.0,102.5478,154773.0,1361.0
