Date,Time,VIX,10Y_Treasury_Yield,30Y_Treasury_Yield,Gold_Price,Oil_Price,EUR_USD,GDP,Unemployment_Rate,CPI,PPI,Retail_Sales,Industrial_Production,Non_Farm_Payrolls,Housing_Starts
8/2/2015,0:20,-0.24062487,-0.13079533,0.19783828,-0.7245798,-0.3971806,0.25661558,-0.7905712,-0.19937405,-0.6146447,-0.69933593,-0.82686454,0.26058358,-0.117101364,-0.5059198
8/9/2015,1:20,-0.30673617,-0.08878967,0.056014873,-0.7491747,-0.36421418,0.20216812,-0.79117644,-0.29529774,-0.6806788,-0.7408756,-0.77067196,0.24742997,-0.24969909,-0.53602517
8/16/2015,2:20,-0.32629248,-0.111042716,0.06593171,-0.77108747,-0.32638392,0.12553062,-0.76651776,-0.33212894,-0.59424466,-0.6357448,-0.74607044,0.19155946,-0.14919212,-0.53979754
8/23/2015,3:20,-0.2657216,-0.01178412,0.18644464,-0.6293021,-0.4086483,0.15307733,-0.7412454,-0.36417007,-0.63501275,-0.6100737,-0.8096881,0.1873311,-0.09580239,-0.58108157
8/30/2015,4:20,-0.29161572,-0.04766515,0.19795975,-0.702328,-0.4184191,0.12504254,-0.8404918,-0.20331994,-0.55669266,-0.64418375,-0.87586576,0.13881454,-0.1055953,-0.4768485
9/6/2015,5:20,-0.24963957,-0.06698677,0.1564128,-0.69437,-0.49429792,0.1842197,-0.76303256,-0.19690567,-0.5394744,-0.60557854,-0.81458956,0.055260547,-0.22971386,-0.55065787
9/13/2015,6:20,-0.20505276,-0.091746256,0.052218065,-0.574475,-0.47577408,0.1494388,-0.6832936,-0.16117734,-0.6008158,-0.5941478,-0.7710772,-0.032303035,-0.20910868,-0.56214947
9/20/2015,7:20,-0.2781194,-0.0494733,0.007943333,-0.6584153,-0.4346729,0.18436024,-0.7079171,-0.19048333,-0.5713731,-0.64137375,-0.76739234,0.046486445,-0.22180292,-0.49774793
9/27/2015,8:20,-0.3194295,-0.086263314,0.06845641,-0.5825655,-0.48323414,0.18901595,-0.7202326,-0.20411646,-0.52147627,-0.563926,-0.8340911,0.028765367,-0.15356195,-0.5790407
10/4/2015,9:20,-0.34222654,-0.072719954,0.21418118,-0.6480124,-0.4834392,0.098848976,-0.74494505,-0.20676768,-0.47543618,-0.57799506,-0.90489036,0.14619741,-0.0968632,-0.44220302
